model_path,region,project_name,g_hi,g_cnt,p_hi,p_cnt,duplicate
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0726_ToDOTD_Hydraulic_Model_Calibration_MermentauHeadwatersHUC8\Model\MH_RAS_1D_26JUL2023\MH_BoggyBayou,Region5,MH_BoggyBayouNetwrk,MH_BoggyBayouNetwrk.g09,3,MH_BoggyBayouNetwrk.p07,6,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0726_ToDOTD_Hydraulic_Model_Calibration_MermentauHeadwatersHUC8\Model\MH_RAS_1D_26JUL2023\MH_Bayou Blue,Region5,MH_BayouBlueNetwork,MH_BayouBlueNetwork.g06,2,MH_BayouBlueNetwork.p06,7,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0721_ToDOTD_Hydraulic_Model_Calibration_AtchafalayaHUC8\Model\AA_AtchRi_21JUL2023,Region5,AA_Atchafalaya_Ri,AA_Atchafalaya_Ri.g79,14,AA_Atchafalaya_Ri.p81,34,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0630_ToDOTD_Hydraulic_Model_Setup_VermilionHUC8\HEC-RAS Models\2D_VermilionRiver,Region5,VE_VermilionRiver,VE_VermilionRiver.g01,1,VE_VermilionRiver.p02,3,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0630_ToDOTD_Hydraulic_Model_Setup_VermilionHUC8\HEC-RAS Models\1D_VermilionSteady,Region5,VE_1DVermilion,VE_1DVermilion.g01,2,VE_1DVermilion.p01,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0630_ToDOTD_Hydraulic_Model_Setup_VermilionHUC8\HEC-RAS Models\1D_StJohnsCoulee,Region5,VE_StJoCo,VE_StJoCo.g01,1,VE_StJoCo.p03,1,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0630_ToDOTD_Hydraulic_Model_Setup_VermilionHUC8\HEC-RAS Models\1D_CouleeMineBranch,Region5,VE_CoMineBranch_1D,VE_CoMineBranch_1D.g01,2,VE_CoMineBranch_1D.p01,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0630_ToDOTD_Hydraulic_Model_Setup_VermilionHUC8\HEC-RAS Models\1D_CouleeDesPoches,Region5,VE_CoDesPoches,VE_CoDesPoches.g01,2,VE_CoDesPoches.p01,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0630_ToDOTD_Hydraulic_Model_Setup_VermilionHUC8\HEC-RAS Models\1D_BayouTesson,Region5,VE_BayouTesson1,VE_BayouTesson1.g02,2,VE_BayouTesson1.p01,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0628_ToDOTD_Hydraulic_Model_Setup_BayouTecheHUC8\Model\2D,Region5,BT_BayouTeche,BT_BayouTeche.g01,1,BT_BayouTeche.p01,1,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0609_ToDOTD_Hydraulic_Model_Setup_Stage2_MermentauHUC8\HEC-RAS Model,Region5,Mermentau,Mermentau.g02,1,Mermentau.p10,1,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0310_ToDOTD_Hydraulic_Model_Setup_Stage2_MermentauHUC8\HEC-RAS Model,Region5,MermentauReboot,MermentauReboot.g03,2,MermentauReboot.p02,3,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0209_ToDOTD_Hydraulic_Model_Setup_MermentauHeadwatersHUC8\Model\MH_RAS_2D_09FFEB2023\MH Bayou Plaquemine Brule,Region5,MH_PlaquemineBruleCombined,MH_PlaquemineBruleCombined.g01,2,MH_PlaquemineBruleCombined.p03,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0209_ToDOTD_Hydraulic_Model_Setup_MermentauHeadwatersHUC8\Model\MH_RAS_2D_09FFEB2023\MH Bayou Nezpique,Region5,MH_ByNezpiqueCombined,MH_ByNezpiqueCombined.g01,1,MH_ByNezpiqueCombined.p01,1,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0209_ToDOTD_Hydraulic_Model_Setup_MermentauHeadwatersHUC8\Model\MH_RAS_2D_09FFEB2023\MH Bayou Des Cannes,Region5,MH_BayouDesCannesCombined,MH_BayouDesCannesCombined.g02,1,MH_BayouDesCannesCombined.p02,1,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0209_ToDOTD_Hydraulic_Model_Setup_MermentauHeadwatersHUC8\Model\MH_RAS_1D_09FEB2023\MH_EastFork Bayou Nezpique,Region5,MH_EFkByNezpique,MH_EFkByNezpique.g01,2,MH_EFkByNezpique.p03,2,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0209_ToDOTD_Hydraulic_Model_Setup_MermentauHeadwatersHUC8\Model\MH_RAS_1D_09FEB2023\MH_CaneyCreek,Region5,MH_CaneyCrNetwork,MH_CaneyCrNetwork.g02,2,MH_CaneyCrNetwork.p02,1,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0209_ToDOTD_Hydraulic_Model_Setup_MermentauHeadwatersHUC8\Model\MH_RAS_1D_09FEB2023\MH_BoggyBayou,Region5,MH_BoggyBayouNetwrk,MH_BoggyBayouNetwrk.g09,2,MH_BoggyBayouNetwrk.p09,1,True
